airline_sentiment,text
negative,"@SouthwestAir I am scheduled for the morning, 2 days after the fact, yes..not sure why my evening flight was the only one Cancelled Flightled"
positive,@SouthwestAir seeing your workers time in and time out going above and beyond is why I love flying with you guys. Thank you!
positive,"@united Flew ORD to Miami and back and  had great crew, service on both legs. THANKS"
negative,@SouthwestAir @dultch97 that's horse radish 😤🐴
negative,"@united so our flight into ORD was delayed because of Air Force One, but the last flight to SBN is at 8:20, 5 mins from now we just landed."
negative,@united Why did you load us in this flying sardine can if you knew the pilots were 2 hours Late Flight?? #incompetent beyond belief
negative,@JetBlue that is a stock response. Delays not as frustrating as poor cust serv &amp; being told by 3 ppl to wait &amp; they'd come back but did not.
positive,@JetBlue That'd be nice! Hoping to rack up enough miles to take a trip to Seattle and enjoy a perfect latte in the city of coffee.
negative,"@united frankly worse customer service ever. Problems will happen, how you deal defines a company. Never again United."
positive,@SouthwestAir yeah haha. Never been in one. It's expensive 😂😂 and we will!!!!! So much fun! #destinationdragons
negative,@SouthwestAir MCO-&gt;DCA flight almost full of people screwed by the MSY-DCA Cancelled Flightation. @united and @USAirways didn't Cancelled Flight. SWA=mistake.
neutral,@JetBlue what's the easiest way to get a ticket receipt? Can I get one at check in or can I get one online? Thanks!
positive,"@USAirways - love the changes in the lounge - cheese, veggies, olives in addition to the crackers and snack mix,"
negative,@SouthwestAir I receive bad customer service and ended up spending several hundred dollars to accommodate my family during each cxl flight
negative,@USAirways you're killing me sche a flight to board 3 min after mine arrived with gate on other side of airport #genious
negative,@USAirways 8 weeks to refund this ticket - 0372389047497?!? - totally unacceptable.  Fix this or I'll put it on blast on social media and TV
negative,@AmericanAir no private msg me and will provide details...u really need customer svc training for your staff
negative,can you not? RT @JetBlue Our fleet's on fleek. http://t.co/413GiAL0yl
negative,@JetBlue any info on why flight 704 from SJU to JFK is already delayed 2 1/2 hours?
negative,"@AmericanAir, I've tried no less than 8 times today to get in touch with your service desk beginning at 8:30 EST.  I'm having no luck -help!"
negative,@USAirways new problem...had wrong last name on reservation which is airways fixed. New can't get through TSA
neutral,@SouthwestAir Any possible chance of SWA bringing back service between LGA-BWI? It would make it much easier to connect to the west coast.
negative,@USAirways @AmericanAir who runs the show at the airport have a boarding pass says us airways and I have to wait in American line #yousuck
